krok 0 | iteracia 1 : 4,61118526850259E+18
krok 0 | iteracia 2 : 915619793839652
krok 0 | iteracia 3 : 0
krok 1 | iteracia 1 : 0
krok 2 | iteracia 1 : 0
krok 3 | iteracia 1 : 0
krok 4 | iteracia 1 : 0
krok 5 | iteracia 1 : 0
krok 6 | iteracia 1 : 0
krok 7 | iteracia 1 : 0
krok 8 | iteracia 1 : 0
krok 9 | iteracia 1 : 0
krok 10 | iteracia 1 : 0
krok 11 | iteracia 1 : 0
krok 12 | iteracia 1 : 0
krok 13 | iteracia 1 : 0
krok 14 | iteracia 1 : 0
krok 15 | iteracia 1 : 0
krok 16 | iteracia 1 : 0
krok 17 | iteracia 1 : 0
krok 18 | iteracia 1 : 0
krok 19 | iteracia 1 : 0
krok 20 | iteracia 1 : 0
krok 21 | iteracia 1 : 0
krok 22 | iteracia 1 : 0
krok 23 | iteracia 1 : 0
krok 24 | iteracia 1 : 0
